sb_player_id,player_name_sb,team_name_sb,sc_player_id,player_name_sc,team_name_sc,match_type,league
115623,Daniel Aguirre,Guadalajara,57237,Daniel Aguirre,Club Deportivo Guadalajara,p1_exact_name_team,Liga MX
16259,Marco Farfán,Tigres UANL,27193,Marco Farfán,Club de Fútbol Tigres de la UNAL,p1_exact_name_team,Liga MX
30538,Richard Ledezma,Guadalajara,26638,Richard Ledezma,Club Deportivo Guadalajara,p1_exact_name_team,Liga MX
439405,Jean Unjanque,Querétaro,857701,Jean Unjanque,Querétaro Fútbol Club,p1_exact_name_team,Liga MX
8357,Oussama Idrissi,Pachuca,8290,Oussama Idrissi,Club de Fútbol Pachuca,p1_exact_name_team,Liga MX
3517,Aaron Ramsey,Pumas UNAM,95,Aaron Ramsey,Club Universidad Nacional,p1_exact_name_team,Liga MX
31455,Shamar Nicholson,Tijuana,16910,Shamar Nicholson,Xoloitcuintles Club Tijuana,p1_exact_name_team,Liga MX
20041,André-Pierre Gignac,Tigres UANL,754,André-Pierre Gignac,Club de Fútbol Tigres de la UNAL,p1_exact_name_team,Liga MX
3016,Allan Saint-Maximin,América,616,Allan Saint-Maximin,Club América,p1_exact_name_team,Liga MX
20039,Anthony Martial,Monterrey,921,Anthony Martial,Club de Fútbol Monterrey,p1_exact_name_team,Liga MX
89887,Diber Armando Cambindo Abonia,León,43847,Diber Armando Cambindo Abonia,Club Social y Deportivo León,p1_exact_name_team,Liga MX
132043,Kevin Alexander Palacios Salazar,Santos Laguna,66442,Kevin Alexander Palacios Salazar,Club Santos Laguna,p1_exact_name_team,Liga MX
48870,Moises Castillo Mosquera,Juárez,33699,Moisés Castillo Mosquera,FC Juárez,p1_exact_name_team,Liga MX
276020,José Raúl Zúñiga Murillo,América,502999,José Raúl Zúñiga Murillo,Club América,p1_exact_name_team,Liga MX
252709,Daniel Felipe Arcila Rojas,León,171340,Daniel Felipe Arcila Rojas,Club Social y Deportivo León,p1_exact_name_team,Liga MX
27234,Christian Hernando Rivera Cuéllar,Pachuca,34833,Christian Hernando Rivera Cuéllar,Club de Fútbol Pachuca,p1_exact_name_team,Liga MX
62800,Edgar Andrés Guerra Hernández,Puebla,39014,Edgar Andrés Guerra Hernández,Club de Fútbol Puebla de la Franja,p1_exact_name_team,Liga MX
89887,Diber Armando Cambindo Abonia,Necaxa,43847,Diber Armando Cambindo Abonia,Rayos de Necaxa,p1_exact_name_team,Liga MX
189420,Johan Rojas Echavarría,Necaxa,115050,Johan Rojas Echavarría,Rayos de Necaxa,p1_exact_name_team,Liga MX
29424,Mateo Klimowicz,Atlético San Luis,25509,Mateo Klimowicz,Atlético de San Luis,p1_exact_name_team,Liga MX
23899,Frank Boya,Tijuana,14760,Frank Boya,Xoloitcuintles Club Tijuana,p1_exact_name_team,Liga MX
234320,Nicolas Fonseca,León,127576,Nicolás Fonseca,Club Social y Deportivo León,p1_exact_name_team,Liga MX
140320,Franco Misael Fagúndez Rosa,Santos Laguna,70950,Franco Misael Fagúndez Rosa,Club Santos Laguna,p1_exact_name_team,Liga MX
