league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
Liga MX,5078,João Pedro Geraldino dos Santos Galvão,Atlético de San Luis,João Pedro,Atlético San Luis,8283,0.24561403508771937,TRUE,2,FALSE,TRUE,joao|pedro|geraldino|santos|galvao,joao|pedro
Liga MX,8496,João Paulo Dias Fernandes,Deportivo Toluca Fútbol Club,João Pedro,Atlético San Luis,8283,0.25000000000000006,FALSE,1,FALSE,FALSE,joao|paulo|dias|fernandes,joao|pedro
Liga MX,9686,Sébastien Salles-Lamonge,Atlético de San Luis,Sebastián Vegas,León,28434,0.20027605244996557,FALSE,0,FALSE,FALSE,sebastien|salleslamonge,sebastian|vegas
Liga MX,11482,Juan Pedro Ramírez López,Atlético de San Luis,Juanpe,Atlético San Luis,6572,0.25000000000000006,TRUE,0,FALSE,FALSE,juan|pedro|ramirez|lopez,juanpe
Liga MX,13957,Roberto Suárez Pier,Club de Fútbol Atlas,Roberto Meraz,Mazatlán,37359,0.17622582096266315,FALSE,1,FALSE,FALSE,roberto|suarez|pier,roberto|meraz
Liga MX,24584,Francisco José Villalba Rodrigo,Club Santos Laguna,Fran Villalba,Santos Laguna,23849,0.23200992555831268,TRUE,1,FALSE,FALSE,francisco|jose|villalba|rodrigo,fran|villalba
Liga MX,25260,Nathanael Ananias da Silva,Club Universidad Nacional,Jonathan Yael Padilla Sandoval,Guadalajara,390511,0.23865578865578863,FALSE,0,FALSE,FALSE,nathanael|ananias|silva,jonathan|yael|padilla|sandoval
Liga MX,25644,Mourad Daoudi El Ghezouani,Xoloitcuintles Club Tijuana,Morad,Tijuana,33360,0.2692307692307692,TRUE,0,FALSE,FALSE,mourad|daoudi|ghezouani,morad
Liga MX,28353,Helio Júnio Nunes de Castro,Deportivo Toluca Fútbol Club,Luis Fernando Puente Prado,Pachuca,359970,0.31131603938621494,FALSE,0,FALSE,FALSE,helio|junio|nunes|castro,luis|fernando|puente|prado
Liga MX,30948,Robson Alves de Barros,Atlético de San Luis,Roberto de la Rosa,Monterrey,30943,0.2529461279461281,FALSE,0,FALSE,FALSE,robson|alves|barros,roberto|rosa
Liga MX,36149,Erick Antonio Lira Méndez,Cruz Azul Fútbol Club,Erick Gutiérrez,Guadalajara,15872,0.2677777777777778,FALSE,1,FALSE,FALSE,erick|antonio|lira|mendez,erick|gutierrez
Liga MX,36467,Antonio Jermiah Leone Larios,Club de Fútbol Monterrey,Antonio Sánchez Montes De Oca,Atlas,52243,0.24671592775041062,FALSE,1,FALSE,FALSE,antonio|jermiah|leone|larios,antonio|sanchez|montes|oca
Liga MX,43279,Luiz Eduardo Teodora da Silva,Mazatlán FC,Luis Ronaldo Nájera Reyna,Atlético San Luis,131320,0.30342123056119,FALSE,0,FALSE,FALSE,luiz|eduardo|teodora|silva,luis|ronaldo|najera|reyna
Liga MX,49308,Vitor Samuel Ferreira Arantes,Xoloitcuintles Club Tijuana,Valentín Gauthier Pereira Brasil,León,365870,0.29315029985007496,FALSE,0,FALSE,FALSE,vitor|samuel|ferreira|arantes,valentin|gauthier|pereira|brasil
