sc_player_id,player_name_sc,team_name_sc,league,side
4809,Javier Hernández Balcázar,Club Deportivo Guadalajara,Liga MX,skillcorner
18021,Víctor Alfonso Guzmán Guzmán,Club de Fútbol Pachuca,Liga MX,skillcorner
18022,Jesús Alberto Angulo Uriarte,Club de Fútbol Tigres de la UNAL,Liga MX,skillcorner
36224,Jorge Alejandro Rodríguez Hernández,Club de Fútbol Atlas,Liga MX,skillcorner
978231,Fernando González Peña,Querétaro Fútbol Club,Liga MX,skillcorner
1028613,Carlos Alberto Rodríguez Santos,Club de Fútbol Tigres de la UNAL,Liga MX,skillcorner
3305,Facundo Sebastián Roncaglia,CA Sarmiento,Argentina,skillcorner
4444,Iker Muniain Goñi,Club Atlético San Lorenzo de Almagro,Argentina,skillcorner
6413,Luis Jan Piers Advíncula Castrillón,Club Atlético Boca Juniors,Argentina,skillcorner
8315,Pablo Ezequiel De Blasis,Gimnasia y Esgrima La Plata,Argentina,skillcorner
9184,Rodrigo Andrés Battaglia,Club Atlético Boca Juniors,Argentina,skillcorner
12062,Miguel Ángel Borja Hernández,Club Atlético River Plate,Argentina,skillcorner
13738,Blás Miguel Riveros Galeano,Club Atlético Talleres,Argentina,skillcorner
14930,Lautaro Fausto Grillo,CA Belgrano de Córdoba,Argentina,skillcorner
15383,Matías Exequiel Orihuela,CA Tucuman,Argentina,skillcorner
18238,Richard Rafael Sánchez Guerrero,Racing Club de Avellaneda,Argentina,skillcorner
18252,Eduar Ayrton Preciado Garcia,CA Aldosivi,Argentina,skillcorner
23114,Darío Ismael Benedetto,Club Atlético Newell's Old Boys,Argentina,skillcorner
23214,Víctor Emanuel Aguilera,Club Social y Deportivo Defensa y Justicia,Argentina,skillcorner
23635,Pablo Ignacio Galdames Millán,CA Independiente,Argentina,skillcorner
23669,Carlos Gabriel González Espínola,Club Atlético Newell's Old Boys,Argentina,skillcorner
24316,Esteban Rodrigo Burgos,CA San Martín de San Juan,Argentina,skillcorner
24758,Leonardo Rafael Jara,Club Deportivo Godoy Cruz Antonio Tomba,Argentina,skillcorner
24950,Milton Óscar Casco,Club Atlético River Plate,Argentina,skillcorner
24959,Juan Gabriel Rodríguez,Club Atlético Talleres,Argentina,skillcorner
24961,Francisco Andrés Pizzini,Club Atlético Vélez Sarsfield,Argentina,skillcorner
25435,Guillermo Matías Fernández,Club Deportivo Godoy Cruz Antonio Tomba,Argentina,skillcorner
25439,Emanuel Reynoso,Club Atlético Talleres,Argentina,skillcorner
25956,Álvaro Anyiver Angulo Mosquera,CA Independiente,Argentina,skillcorner
25958,Kevin Alexander Balanta Lucumí,Club Social y Deportivo Defensa y Justicia,Argentina,skillcorner
26254,Francisco Joel Gerometta,Club Atlético Unión,Argentina,skillcorner
26257,Horacio Gabriel Carabajal,CA Sarmiento,Argentina,skillcorner
26267,Damián Iván Batallini,Instituto AC Córdoba,Argentina,skillcorner
26268,Francis Manuel Mac Allister,Instituto AC Córdoba,Argentina,skillcorner
26298,Rodrigo Emanuel Cecchini,Club Atlético San Lorenzo de Almagro,Argentina,skillcorner
26301,Agustín Bouzat,Club Atlético Vélez Sarsfield,Argentina,skillcorner
26306,Matías De los Santos De los Santos,CA Tucuman,Argentina,skillcorner
26324,Jonathan Sebastián Galván,Club Atlético Central Córdoba,Argentina,skillcorner
26325,Aníbal Jonathan Gastón Bay,CA Platense,Argentina,skillcorner
26462,Miguel Marcelo Brizuela,CA Tucuman,Argentina,skillcorner
26469,Sebastián Alberto Palacios,Club Atlético Talleres,Argentina,skillcorner
26510,Tomás Cardona,CA Tigre,Argentina,skillcorner
26513,Valentín Alberto Burgoa,CA Sarmiento,Argentina,skillcorner
26537,Nahuel Lautaro Bustos,Club Atlético Talleres,Argentina,skillcorner
26557,Iván Alexis Pillud,Club Atlético Central Córdoba,Argentina,skillcorner
28473,Carlos Alonso Enrique Palacios Núñez,Club Atlético Boca Juniors,Argentina,skillcorner
28530,Guillermo Gastón Acosta,CA Tucuman,Argentina,skillcorner
28532,Yonathan Emanuel Cabral,CA Aldosivi,Argentina,skillcorner
28629,Jan Carlos Hurtado Anchico,Gimnasia y Esgrima La Plata,Argentina,skillcorner
28637,Carlos Daniel Auzqui,CA Tucuman,Argentina,skillcorner
28644,Facundo Tomás Quignón,CA Belgrano de Córdoba,Argentina,skillcorner
28654,Mauricio Luciano Lollo,Club Atlético Newell's Old Boys,Argentina,skillcorner
28700,Héctor Hugo Fértoli,CA Tigre,Argentina,skillcorner
28706,Rafael Marcelo Delgado,Club Social y Deportivo Defensa y Justicia,Argentina,skillcorner
28712,Diego Hernán González,CA San Martín de San Juan,Argentina,skillcorner
28747,Agustín Ezequiel Almendra,Racing Club de Avellaneda,Argentina,skillcorner
28755,Facundo Mura,Racing Club de Avellaneda,Argentina,skillcorner
29736,Thomas Sebastian Ortega,CS Independiente Rivadavia,Argentina,skillcorner
29743,Agustín José Urzi,Club Atlético Huracán,Argentina,skillcorner
29762,Alejo Gastón Montero,Club Atlético Newell's Old Boys,Argentina,skillcorner
34274,Roberto Nicolás Fernández Fagúndez,Club Deportivo Godoy Cruz Antonio Tomba,Argentina,skillcorner
34313,Lucas Agustín Ferreira Zagas,Club Social y Deportivo Defensa y Justicia,Argentina,skillcorner
34342,Leandro Suhr Avondet,CA Sarmiento,Argentina,skillcorner
34347,Martín Alejandro Fernández Figueira,Club Atlético Newell's Old Boys,Argentina,skillcorner
34347,Martín Alejandro Fernández Figueira,Gimnasia y Esgrima La Plata,Argentina,skillcorner
