league,sc_player_id,player_name_sc,player_name_sb,sb_player_id,team_name_sc
Liga MX,1018143,Sebastian Aceves,Franco Andrés Rossi Donazar,437672,Deportivo Toluca Fútbol Club
Liga MX,1018143,Sebastian Aceves,Luis García,37592,Deportivo Toluca Fútbol Club
Liga MX,1018143,Sebastian Aceves,Francisco Pumpido,432725,Deportivo Toluca Fútbol Club
Liga MX,1018143,Sebastian Aceves,Jorge Díaz,30459,Deportivo Toluca Fútbol Club
Liga MX,1018143,Sebastian Aceves,Hugo González,26303,Deportivo Toluca Fútbol Club
Liga MX,1018143,Sebastian Aceves,S.Cordova,482833,Deportivo Toluca Fútbol Club
Liga MX,1028613,Carlos Alberto Rodríguez Santos,César Araújo,36498,Club de Fútbol Tigres de la UNAL
Liga MX,1028613,Carlos Alberto Rodríguez Santos,Francisco Manuel Reyes Maldonado,277725,Club de Fútbol Tigres de la UNAL
Liga MX,1028613,Carlos Alberto Rodríguez Santos,Nahuel Guzmán,28561,Club de Fútbol Tigres de la UNAL
Brasil – Série A,631808,Erick Da Costa Farias,Rezende,234252,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Zé Guilherme,392245,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Kauê da Silva,478476,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Ronaldo,126653,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Marcos Felipe,33016,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Frederico Lippert Neto Gomes,439098,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Ruan Pablo Barbosa Sousa,438228,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Kanu,30071,Esporte Clube Bahia
Brasil – Série A,631808,Erick Da Costa Farias,Erick Pulga,392955,Esporte Clube Bahia
Colombia,5528,Juan Fernando Quintero Paniagua,Luis Mina,437530,América de Cali
Colombia,5528,Juan Fernando Quintero Paniagua,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,5528,Juan Fernando Quintero Paniagua,Kevin Angulo Angulo,474102,América de Cali
Colombia,5528,Juan Fernando Quintero Paniagua,Nicolás Hernández,27471,América de Cali
Colombia,5528,Juan Fernando Quintero Paniagua,Jorge Soto,36907,América de Cali
Colombia,5528,Juan Fernando Quintero Paniagua,Adrián Ramos,24324,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Luis Mina,437530,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Kevin Angulo Angulo,474102,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Nicolás Hernández,27471,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Jorge Soto,36907,América de Cali
Colombia,11823,Éder Fabián Álvarez Balanta,Adrián Ramos,24324,América de Cali
Colombia,15095,Edwin Fabry Castro Barros,Aldair Quintana,27587,CA Bucaramanga
Colombia,15095,Edwin Fabry Castro Barros,Felix Eduardo Charrupí Mina,379516,CA Bucaramanga
Colombia,15095,Edwin Fabry Castro Barros,Luis Vásquez,35481,CA Bucaramanga
Colombia,15095,Edwin Fabry Castro Barros,Gleyfer Medina,485276,CA Bucaramanga
Colombia,15760,Andrés Fabián Ponce Núñez,Aldair Quintana,27587,CA Bucaramanga
Colombia,15760,Andrés Fabián Ponce Núñez,Felix Eduardo Charrupí Mina,379516,CA Bucaramanga
Colombia,15760,Andrés Fabián Ponce Núñez,Luis Vásquez,35481,CA Bucaramanga
Colombia,15760,Andrés Fabián Ponce Núñez,Gleyfer Medina,485276,CA Bucaramanga
Colombia,17945,Román Rubilio Castillo Álvarez,Jared Rodriguez,530372,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Ánderson Plata,28684,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Jorge Eliécer Martínez Mosquera,484466,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Luis Felipe Mosquera Paredes,249295,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Calderon A.,528792,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Sebastián Arbeláez,438675,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Jhon Montoya,530371,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Santiago Alzate,530370,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Nicolas Rengifo,423012,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Ederson Moreno,36151,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Miguel Aguirre Angel,530366,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Josseph Mosquera,530373,Deportivo Pereira
Colombia,17945,Román Rubilio Castillo Álvarez,Yimy Gómez,36906,Deportivo Pereira
Colombia,23437,Yerson Candelo Miranda,Luis Mina,437530,América de Cali
Colombia,23437,Yerson Candelo Miranda,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,23437,Yerson Candelo Miranda,Kevin Angulo Angulo,474102,América de Cali
Colombia,23437,Yerson Candelo Miranda,Nicolás Hernández,27471,América de Cali
Colombia,23437,Yerson Candelo Miranda,Jorge Soto,36907,América de Cali
Colombia,23437,Yerson Candelo Miranda,Adrián Ramos,24324,América de Cali
Colombia,25953,Mender García Torres,Eder Chaux,27275,Independiente Medellin
Colombia,25953,Mender García Torres,Gerónimo Mancilla Vidal,482883,Independiente Medellin
Colombia,25953,Mender García Torres,Salvador Ichazo,22271,Independiente Medellin
Colombia,27118,Hárold Santiago  Mosquera Caicedo,Kilian David Toscano Bassa,277520,Independiente Santa Fe
Colombia,27118,Hárold Santiago  Mosquera Caicedo,M.Cuesta Palacios,483805,Independiente Santa Fe
Colombia,27118,Hárold Santiago  Mosquera Caicedo,Weibmar Banny Asprilla Mena,52299,Independiente Santa Fe
Colombia,28379,Rodrigo Julián Holgado,Luis Mina,437530,América de Cali
Colombia,28379,Rodrigo Julián Holgado,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,28379,Rodrigo Julián Holgado,Kevin Angulo Angulo,474102,América de Cali
Colombia,28379,Rodrigo Julián Holgado,Nicolás Hernández,27471,América de Cali
Colombia,28379,Rodrigo Julián Holgado,Jorge Soto,36907,América de Cali
Colombia,28379,Rodrigo Julián Holgado,Adrián Ramos,24324,América de Cali
Colombia,31141,Ángelo José Rodríguez Henry,Kilian David Toscano Bassa,277520,Independiente Santa Fe
Colombia,31141,Ángelo José Rodríguez Henry,M.Cuesta Palacios,483805,Independiente Santa Fe
Colombia,31141,Ángelo José Rodríguez Henry,Weibmar Banny Asprilla Mena,52299,Independiente Santa Fe
Colombia,34356,Camilo Damián Cándido Aquino,Harlen Castillo,37574,Club Atlético Nacional
Colombia,34356,Camilo Damián Cándido Aquino,César Haydar,28938,Club Atlético Nacional
Colombia,34356,Camilo Damián Cándido Aquino,David Ospina,4276,Club Atlético Nacional
Colombia,34427,Marino Hinestroza Angulo,Harlen Castillo,37574,Club Atlético Nacional
Colombia,34427,Marino Hinestroza Angulo,César Haydar,28938,Club Atlético Nacional
Colombia,34427,Marino Hinestroza Angulo,David Ospina,4276,Club Atlético Nacional
Colombia,34827,Fabián Andrés Castillo Sánchez,Juan Arango,418919,Deportivo Cali
Colombia,34827,Fabián Andrés Castillo Sánchez,Alejandro Rodríguez Bahena,94936,Deportivo Cali
Colombia,34827,Fabián Andrés Castillo Sánchez,Javier Mena,388278,Deportivo Cali
Colombia,34827,Fabián Andrés Castillo Sánchez,Juan José Montoya Tamayo,493776,Deportivo Cali
Colombia,35668,Luis Alejandro Paz Mulato,Luis Mina,437530,América de Cali
Colombia,35668,Luis Alejandro Paz Mulato,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,35668,Luis Alejandro Paz Mulato,Kevin Angulo Angulo,474102,América de Cali
Colombia,35668,Luis Alejandro Paz Mulato,Nicolás Hernández,27471,América de Cali
Colombia,35668,Luis Alejandro Paz Mulato,Jorge Soto,36907,América de Cali
Colombia,35668,Luis Alejandro Paz Mulato,Adrián Ramos,24324,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Luis Mina,437530,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Bryan Esteban Correa Montenegro,413088,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Kevin Angulo Angulo,474102,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Nicolás Hernández,27471,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Jorge Soto,36907,América de Cali
Colombia,35671,Duván Andrés Vergara Hernández,Adrián Ramos,24324,América de Cali
Colombia,35708,Michael Jhon Ander Rangel Valencia,Juan Montoya,438044,Club Llaneros SA
Colombia,35708,Michael Jhon Ander Rangel Valencia,Néider Stiven Ospina Flórez,404791,Club Llaneros SA
Colombia,35708,Michael Jhon Ander Rangel Valencia,Alejandro Moralez,29076,Club Llaneros SA
Colombia,35708,Michael Jhon Ander Rangel Valencia,R.Romaña Garavito,462563,Club Llaneros SA
Colombia,35708,Michael Jhon Ander Rangel Valencia,Jhon Vásquez,27415,Club Llaneros SA
Colombia,35708,Michael Jhon Ander Rangel Valencia,Miguel Ortega,33371,Club Llaneros SA
Colombia,35717,Luis Daniel González Cova,Joel Andrés Canchimbo Morales,440436,Club Deportivo Junior FC
Colombia,35717,Luis Daniel González Cova,Jefersson Martínez,27507,Club Deportivo Junior FC
Colombia,35717,Luis Daniel González Cova,Harold Rivera,28812,Club Deportivo Junior FC
Colombia,35717,Luis Daniel González Cova,Lucas Monzón,43859,Club Deportivo Junior FC
Colombia,35717,Luis Daniel González Cova,Mauro Silveira,36501,Club Deportivo Junior FC
Colombia,35725,Estéfano Arango González,Yaliston Andrés Martínez Castilo,130270,Boyacá Chicó
Colombia,35725,Estéfano Arango González,Rogerio Caicedo,37485,Boyacá Chicó
Colombia,35725,Estéfano Arango González,Jacobo Pimentel,37478,Boyacá Chicó
Colombia,35725,Estéfano Arango González,Jaime de Jesús Díaz Montes,188434,Boyacá Chicó
Colombia,35725,Estéfano Arango González,Jhonny Alejandro Jordán Riascos,425033,Boyacá Chicó
Colombia,35725,Estéfano Arango González,Emiliano Denis,36479,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Yaliston Andrés Martínez Castilo,130270,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Rogerio Caicedo,37485,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Jacobo Pimentel,37478,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Jaime de Jesús Díaz Montes,188434,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Jhonny Alejandro Jordán Riascos,425033,Boyacá Chicó
Colombia,35727,Vladimir Javier Hernández Rivero,Emiliano Denis,36479,Boyacá Chicó
Colombia,35729,Jarlan Junior Barrera Escalona,Juan Arango,418919,Deportivo Cali
Colombia,35729,Jarlan Junior Barrera Escalona,Alejandro Rodríguez Bahena,94936,Deportivo Cali
Colombia,35729,Jarlan Junior Barrera Escalona,Javier Mena,388278,Deportivo Cali
Colombia,35729,Jarlan Junior Barrera Escalona,Juan José Montoya Tamayo,493776,Deportivo Cali
Colombia,35729,Jarlan Junior Barrera Escalona,Eder Chaux,27275,Independiente Medellin
Colombia,35729,Jarlan Junior Barrera Escalona,Gerónimo Mancilla Vidal,482883,Independiente Medellin
Colombia,35729,Jarlan Junior Barrera Escalona,Salvador Ichazo,22271,Independiente Medellin
